epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,19200.6,1.38537,5.67283,1.69676,0.40698,0.62144,0.53717,0.37218,1.80902,5.74009,1.37233,0.0002674,0.0002674,0.0002674
113,19380.1,1.36326,5.56667,1.68766,0.39515,0.69026,0.55089,0.37305,1.8022,5.85938,1.36267,0.0002608,0.0002608,0.0002608
114,19543.9,1.33647,5.50366,1.74776,0.37277,0.6679,0.542,0.37959,1.78659,6.47465,1.33972,0.0002542,0.0002542,0.0002542
115,19717.5,1.36102,5.53684,1.72552,0.32645,0.62966,0.53874,0.36903,1.76794,6.64359,1.35685,0.0002476,0.0002476,0.0002476
116,19893.2,1.33523,5.38213,1.7122,0.5036,0.41821,0.4808,0.3189,1.81089,6.35455,1.37772,0.000241,0.000241,0.000241
117,20064,1.38299,5.37037,1.72772,0.39196,0.5293,0.49753,0.33154,1.85085,6.21364,1.40188,0.0002344,0.0002344,0.0002344
118,20243.7,1.39297,5.56332,1.72948,0.35837,0.63648,0.5053,0.34655,1.7689,6.2619,1.3666,0.0002278,0.0002278,0.0002278
119,20411.3,1.37213,5.48258,1.69267,0.39677,0.72468,0.51837,0.36633,1.74389,5.61506,1.33428,0.0002212,0.0002212,0.0002212
120,20574.2,1.38191,5.48727,1.72495,0.48932,0.53434,0.52896,0.35506,1.76369,5.59955,1.36604,0.0002146,0.0002146,0.0002146
121,20741.4,1.34636,5.57969,1.69904,0.47146,0.57552,0.52093,0.34361,1.7793,5.51279,1.38601,0.000208,0.000208,0.000208
122,20917.7,1.34911,5.33141,1.69222,0.35085,0.60743,0.50345,0.33365,1.76659,5.62107,1.38345,0.0002014,0.0002014,0.0002014
123,21084,1.32249,5.2512,1.7093,0.40079,0.59136,0.53492,0.3664,1.7457,5.95078,1.34392,0.0001948,0.0001948,0.0001948
124,21256.8,1.34125,5.43788,1.72403,0.56896,0.51287,0.5454,0.37776,1.70874,5.71392,1.31958,0.0001882,0.0001882,0.0001882
125,21423.3,1.32872,5.28623,1.68251,0.46582,0.51869,0.53044,0.37843,1.70588,6.10858,1.33369,0.0001816,0.0001816,0.0001816
126,21591.4,1.33526,5.34857,1.68166,0.48738,0.50568,0.53412,0.37838,1.72509,6.23165,1.36527,0.000175,0.000175,0.000175
127,21767.6,1.36095,5.46834,1.70687,0.41942,0.59569,0.5336,0.3714,1.76638,5.52754,1.36269,0.0001684,0.0001684,0.0001684
128,21925.4,1.31953,5.37754,1.69366,0.38058,0.62294,0.54243,0.37266,1.81431,5.64281,1.38533,0.0001618,0.0001618,0.0001618
129,22096.8,1.31833,5.31096,1.67425,0.37776,0.63186,0.52619,0.35761,1.80072,6.11289,1.38643,0.0001552,0.0001552,0.0001552
130,22268,1.32102,5.43107,1.66656,0.39576,0.65816,0.55478,0.37141,1.7729,5.58696,1.36049,0.0001486,0.0001486,0.0001486
131,22437.8,1.31743,5.40561,1.6935,0.44908,0.59632,0.56527,0.37674,1.77636,5.54118,1.33353,0.000142,0.000142,0.000142
